Object_Name,Available_Count,Detected_Total_Count,Date,Session
chair,5,6,2024-09-14,AN
tvmonitor,6,5,2024-09-14,AN
keyboard,6,2,2024-09-14,AN
cup,2,0,2024-09-14,AN
cell phone,1,0,2024-09-14,AN
printer,3,0,2024-09-14,AN
chair,5,6,2024-09-14,AN
tvmonitor,6,5,2024-09-14,AN
keyboard,6,2,2024-09-14,AN
cup,2,0,2024-09-14,AN
cell phone,1,0,2024-09-14,AN
printer,3,0,2024-09-14,AN
chair,5,6,2024-09-14,AN
tvmonitor,6,5,2024-09-14,AN
keyboard,6,2,2024-09-14,AN
cup,2,0,2024-09-14,AN
cell phone,1,0,2024-09-14,AN
printer,3,0,2024-09-14,AN
chair,5,6,2024-09-14,AN
tvmonitor,6,5,2024-09-14,AN
keyboard,6,2,2024-09-14,AN
cup,2,0,2024-09-14,AN
cell phone,1,0,2024-09-14,AN
printer,3,0,2024-09-14,AN
