Object_Name,Available_Count,Detected_Total_Count,Date,Session
chair,5,15,2024-09-12,AN
tvmonitor,6,10,2024-09-12,AN
keyboard,6,8,2024-09-12,AN
cup,2,0,2024-09-12,AN
cell phone,1,0,2024-09-12,AN
printer,3,0,2024-09-12,AN
chair,5,15,2024-09-12,AN
tvmonitor,6,10,2024-09-12,AN
keyboard,6,8,2024-09-12,AN
cup,2,0,2024-09-12,AN
cell phone,1,0,2024-09-12,AN
printer,3,0,2024-09-12,AN
chair,5,30,2024-09-12,AN
tvmonitor,6,20,2024-09-12,AN
keyboard,6,16,2024-09-12,AN
cup,2,0,2024-09-12,AN
cell phone,1,0,2024-09-12,AN
printer,3,0,2024-09-12,AN
chair,5,15,2024-09-12,AN
tvmonitor,6,10,2024-09-12,AN
keyboard,6,8,2024-09-12,AN
cup,2,0,2024-09-12,AN
cell phone,1,0,2024-09-12,AN
printer,3,0,2024-09-12,AN
